type_habits,prix,adresse,image_lien,categorie
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318674_uploaded_image1_1746735167.jpg,Vêtements Homme
Ensemble homme,15 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318670_uploaded_image1_1746734969.jpg,Vêtements Homme
Chemise,25 000,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346271_uploaded_image1_1748268399.jpg,Vêtements Homme
Chemise homme,25 000,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346211_uploaded_image1_1748266571.jpg,Vêtements Homme
Bassin riche,5 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314920_uploaded_image1_1746554358.jpg,Vêtements Homme
Lacoste homme,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314919_uploaded_image1_1746554270.jpg,Vêtements Homme
Lacoste coton,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314904_uploaded_image1_1746553879.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314912_uploaded_image1_1746554095.jpg,Vêtements Homme
Jean homme,7 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314908_uploaded_image1_1746554002.jpg,Vêtements Homme
Tenue Africaine,40 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5360278_uploaded_image1_1749046194.jpg,Vêtements Homme
Lacoste homme,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313316_uploaded_image1_1746471140.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313321_uploaded_image1_1746471279.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313236_uploaded_image1_1746467678.jpg,Vêtements Homme
Lacoste homme,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5310613_uploaded_image1_1746312787.jpg,Vêtements Homme
Paquet Tshirt cotton 100℅,7 500,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5306801_uploaded_image1_1746115281.jpg,Vêtements Homme
Pantalon homme,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305847_uploaded_image1_1746059808.jpg,Vêtements Homme
Chemise,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305845_uploaded_image1_1746059687.jpg,Vêtements Homme
Ensemble homme,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305848_uploaded_image1_1746059890.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305840_uploaded_image1_1746059319.jpg,Vêtements Homme
Lot de 6 tshirts,11 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5308578_uploaded_image1_1746204180.jpg,Vêtements Homme
Débardeur en coton,3 500,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305181_uploaded_image1_1746024944.jpg,Vêtements Homme
Jogging Nike,9 000,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350993_uploaded_image1_1748526930.jpg,Vêtements Homme
Petit grand bobou homme,75 500,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349883_uploaded_image1_1748450338.jpg,Vêtements Homme
T-shirt homme,7 000,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348769_uploaded_image1_1748394151.jpg,Vêtements Homme
Vêtements pour homme,7 000,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348768_uploaded_image1_1748394074.jpg,Vêtements Homme
Vêtements pour homme,7 000,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348767_uploaded_image1_1748393966.jpg,Vêtements Homme
Vêtements pour homme,7 000,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348766_uploaded_image1_1748393850.jpg,Vêtements Homme
Ensemble homme,10 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5302306_uploaded_image1_1745866564.jpg,Vêtements Homme
Costume africain,Prix sur demande,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348515_uploaded_image1_1748378639.jpg,Vêtements Homme
Ensemble,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299478_uploaded_image1_1745669665.jpg,Vêtements Homme
Ensemble  Coton,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299466_uploaded_image1_1745669166.jpg,Vêtements Homme
Kaki original,7 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299455_uploaded_image1_1745668917.jpg,Vêtements Homme
Getzner  Gold,12 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299457_uploaded_image1_1745668962.jpg,Vêtements Homme
Getzner  Gold,12 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299464_uploaded_image1_1745669098.jpg,Vêtements Homme
Jogging,7 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg,Vêtements Homme
Lacoste  Coton,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299472_uploaded_image1_1745669456.jpg,Vêtements Homme
Tissu original,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299471_uploaded_image1_1745669398.jpg,Vêtements Homme
Bassin  riche  gold,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299451_uploaded_image1_1745668861.jpg,Vêtements Homme
T-shirt,5 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5343507_uploaded_image1_1748092409.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5296721_uploaded_image1_1745512439.jpg,Vêtements Homme
