type_chaussures,prix,adresse,image_lien,categorie
Chaussures femmes,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380983_uploaded_image1_1750268930.jpg,Chaussures Homme
Chaussures homme,22 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380977_uploaded_image1_1750268827.jpg,Chaussures Homme
Chaussures hommes,23 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380973_uploaded_image1_1750268749.jpg,Chaussures Homme
Sandales croches,15 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380962_uploaded_image1_1750268329.jpg,Chaussures Homme
Chaussures hommes,22 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380959_uploaded_image1_1750268225.jpg,Chaussures Homme
Baskets Jordan Treize,21 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5379616_uploaded_image1_1750201036.jpg,Chaussures Homme
Chaussures Nike,28 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5335985_uploaded_image1_1747682655.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375053_uploaded_image1_1749944221.jpg,Chaussures Homme
Chaussures TN,13 500,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371448_uploaded_image1_1749743120.jpg,Chaussures Homme
Baskets Jordan 4,12 500,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371443_uploaded_image1_1749742989.jpg,Chaussures Homme
Baskets homme,14 000,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369353_uploaded_image1_1749639708.jpg,Chaussures Homme
Chaussures Vans,20 000,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332230_uploaded_image1_1747444488.jpg,Chaussures Homme
Chaussure homme,Prix sur demande,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368229_uploaded_image1_1749571634.jpg,Chaussures Homme
Chaussures Samba,25 000,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367274_uploaded_image1_1749513863.jpg,Chaussures Homme
Chaussures original,15 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344646_uploaded_image1_1748182098.jpg,Chaussures Homme
Chaussures homme,10 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332090_uploaded_image1_1747434845.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332091_uploaded_image1_1747434908.jpg,Chaussures Homme
Chaussures homme,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5351571_uploaded_image1_1748560945.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341256_uploaded_image1_1747953772.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341258_uploaded_image1_1747953837.jpg,Chaussures Homme
Babouche hommes,10 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5351566_uploaded_image1_1748560780.jpg,Chaussures Homme
Chaussures homme,13 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5351559_uploaded_image1_1748560482.jpg,Chaussures Homme
Chaussures homme,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5351558_uploaded_image1_1748560435.jpg,Chaussures Homme
Chaussures homme,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5351557_uploaded_image1_1748560355.jpg,Chaussures Homme
Chaussures homme,18 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341252_uploaded_image1_1747953598.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5357454_uploaded_image1_1748906110.jpg,Chaussures Homme
Chaussures homme,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5357431_uploaded_image1_1748905422.jpg,Chaussures Homme
Chaussures homme,13 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5357425_uploaded_image1_1748905162.jpg,Chaussures Homme
