web-scraper-order,web-scraper-start-url,V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751544298-56","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155087_uploaded_image1_1590127119.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-57","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155083_uploaded_image1_1590127085.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-58","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","8 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155080_uploaded_image1_1590127030.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-59","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155067_uploaded_image1_1590126775.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-60","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155062_uploaded_image1_1590126727.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-61","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155057_uploaded_image1_1590126686.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-62","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","13 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155049_uploaded_image1_1590126635.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-63","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155047_uploaded_image1_1590126582.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-64","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155043_uploaded_image1_1590126539.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-65","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155036_uploaded_image1_1590126477.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
